id,nome_modello,brand,categoria,prezzo,descrizione_breve
29,Tenways CGO600 Pro,Tenways,E-City,1800,Minimalista e leggera con trasmissione a cinghia.
30,Cowboy Cross,Cowboy,E-City,3500,La smart-bike all-road dal design pulitissimo.
31,VanMoof S5,VanMoof,E-City,3300,Tecnologia invisibile e sicurezza integrata.
32,Rad Power RadCity 5,Rad Power,E-City,1900,Versatilità imbattibile per ogni pendenza urbana.
33,Tern GSD S10,Tern,Cargo,5600,Capacità di carico estrema in un formato compatto.
34,Veloretti Electric Ace,Veloretti,E-City,2900,Stile rétro e tecnologia moderna sulle strade di città.
35,Honbike U4,Honbike,E-City,1700,Design aeronautico senza catena. Manutenzione zero.
36,Trek Allant+ 8 Stagger,Trek,E-City,4600,Potenza Bosch e design raffinato per sostituire l'auto.
37,Cube Kathmandu Hybrid,Cube,Trekking,3900,Robusta e affidabile per il cicloturismo d'avventura.
38,Scott Sub Active eRide 20,Scott,E-City,2800,Praticità e comfort Scott per la vita di tutti i giorni.
39,Giant Anytour E+ 0,Giant,Trekking,4100,Esplorazione senza limiti con guida fluida e silenziosa.
40,Canyon Pathlite:ON 5 SUV,Canyon,Trekking,3200,La versatilità di un SUV su due ruote.
41,Lapierre Overvolt Explorer,Lapierre,Trekking,3100,"Pronta a tout, dall'asfalto ai sentieri di campagna."
42,Winora Yucatan 10 Wave,Winora,Trekking,3000,Ingresso basso e anima sportiva per ogni viaggio.
43,Flyer Gotour6 3.10,Flyer,E-City,4000,Qualità svizzera e finiture premium in ogni dettaglio.
44,Rad Power Bikes RadRover 6,Rad Power,E-Fat Bike,2100,"Divertimento infinito su sabbia, neve o fango."
45,Aventon Aventure.2,Aventon,E-Fat Bike,2000,Potenza selvaggia per non fermarsi mai.
46,Himiway Zebra D5 ST,Himiway,E-Fat Bike,2200,Autonomia record e design robusto per ogni percorso.
47,Lectric XP 3.0,Lectric,E-Folding,1300,Potenza e portabilità au meilleur prix.
48,Juiced CrossCurrent X,Juiced,E-City,2500,Velocità e autonomia per chi vuole arrivare primo.
49,Ride1UP 700 Series ST,Ride1UP,E-City,1900,Performance superiori e finiture eleganti.
50,Specialized Turbo Tero X,Specialized,SUV,5200,Sospensioni totali e anima esploratrice per ogni terreno.
51,Specialized Mode MIPS,Specialized,Accessori,120,Design urbano pulito e massima protezione MIPS.
52,Sena R1,Sena,Accessori,160,Comunicazione Bluetooth e altoparlanti integrati.
53,Abus Bordo 6000C,Abus,Accessori,110,Sicurezza tedesca pieghevole e compatta.
54,Kryptonite New York Lock,Kryptonite,Accessori,95,Resisenza leggendaria per le tue soste urbane.
55,Ortlieb Back-Roller Classic,Ortlieb,Accessori,150,Borse impermeabili iconiche per ogni viaggio.
56,ROCKBROS Borsa,ROCKBROS,Accessori,35,Spazio extra impermeabile per i tuoi oggetti.
57,Garmin Varia RCT715,Garmin,Tech,399,Radar con telecamera per la tua sicurezza posteriore.
58,Knog Blinder 1300,Knog,Accessori,100,Potenza luminosa estrema e design minimalista.
59,Wahoo ELEMNT BOLT,Wahoo,Tech,280,Il computer da bici più aerodinamico e intuitivo.
60,Garmin Edge 530,Garmin,Tech,260,Monitoraggio delle prestazioni e navigazione avanzata.
61,Xiaomi Portable Electric,Xiaomi,Tech,60,Gonfiaggio elettrico rapido e preciso in tasca.
62,Lezyne Trigger Drive,Lezyne,Accessori,25,Erogatore di CO2 compatto per riparazioni fulminee.
63,Muc-Off Clean & Protect,Muc-Off,Maintenance,45,Tutto il necessario per la cura della tua bici.
64,Finish Line Wet Lube,Finish Line,Maintenance,12,Lubrificante professionale per condizioni estreme.
65,Quad Lock,Quad Lock,Accessori,70,Il sistema di montaggio smartphone più sicuro.
66,Giro Rodeo,Giro,Accessori,45,Protezione e comfort per i piccoli ciclisti.
67,Shimano PD-EH500 SPD,Shimano,Accessori,85,Pedali versatili a doppia funzione.
68,Brooks B17 Carved,Brooks,Accessori,145,L'icona del comfort in pelle artigianale.
69,Specchietto B&M,B&M,Accessori,30,Visione posteriore cristallina per la città.
70,Ursus Wave,Ursus,Accessori,20,Il cavalletto più stabile per ogni tipo di bici.
71,Thule Tour Rack,Thule,Accessori,110,Portapacchi universale per quasi tutte le bici.
72,Burley Bee,Burley,Accessori,350,Il rimorchio per bambini più sicuro e leggero.
73,Evoc FR Trail Unlimited,Evoc,Accessori,220,Zaino tecnico con protezione dorsale integrata.
74,Five Ten Freerider Pro,Adidas,Accessori,150,Il grip definitivo sui pedali flat per l Enduro.
75,Oakley Jawbreaker,Oakley,Accessori,210,Design sportivo estremo e visione ottimizzata.
